Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
MARA,MARA,Financial Services,Capital Markets,13.39,48772638.0,1.09,3.48,13.19,40.36,0.65,0.65,0.65,5.1
CRWV,CoreWeave,Technology,Software - Infrastructure,114.7,27082663.0,0.78,0.48,-8.55,12.45,3.11,3.11,3.11,60.58
^IXIC,Nasdaq,Index,Market Index,26274.12,10969151000.0,1.26,0.1,4.81,14.72,288204.84,288204.84,288204.84,0.0
CRCL,CRCL,Financial Services,Capital Markets,131.76,44862919.0,1.99,15.91,10.23,49.66,5.91,5.91,5.91,35.04
HYMC,HYMC,Basic Materials,Gold,43.71,4181055.0,2.18,13.71,21.11,16.56,0.18,0.18,0.18,3.99
META,Meta,Communication Services,Internet Content & Information,598.86,14880586.0,0.94,-1.77,-1.89,-4.92,8.91,8.91,8.91,1520.16
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,216.6,13597486.0,1.33,7.68,6.7,29.04,2.95,2.95,2.95,57.06
LUNR,LUNR,Industrials,Aerospace & Defense,32.42,15672513.0,1.35,11.91,27.89,37.55,0.51,0.51,0.51,5.19
ACHR,ACHR,Industrials,Aerospace & Defense,6.54,65519520.0,1.35,0.93,13.34,21.11,0.43,0.43,0.43,4.97
GRAB,GRAB,Technology,Software - Application,3.65,50267363.0,0.81,-1.88,0.83,-0.82,0.18,0.18,0.18,14.93
ADBE,Adobe,Technology,Software - Application,246.15,3118252.0,0.71,-2.72,-3.08,9.23,0.77,0.77,0.77,99.49
IREN,IREN,Financial Services,Capital Markets,55.15,108393609.0,1.57,-9.89,11.46,40.26,5.98,5.98,5.98,18.3
BAC,Bank of America,Financial Services,Banks - Diversified,50.55,25925367.0,0.79,-1.48,-3.14,-3.79,1.31,1.31,1.31,358.73
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,445.0,75805866.0,1.36,3.89,13.37,27.53,33.73,33.73,33.73,1671.3
V,Visa,Financial Services,Credit Services,323.86,9582983.0,1.43,1.59,-0.91,6.41,3.1,3.1,3.1,615.9
^GSPC,S&P 500,Index,Market Index,7412.84,3378815000.0,0.59,0.19,2.95,8.74,25046.61,25046.61,25046.61,0.0
UNH,UnitedHealth,Healthcare,Healthcare Plans,384.44,6937927.0,1.16,1.17,3.69,26.32,2.67,2.67,2.67,349.13
IONQ,IONQ,Technology,Computer Hardware,56.89,61038663.0,1.63,15.54,24.35,97.6,3.47,3.47,3.47,21.24
AAL,AAL,Industrials,Airlines,12.79,45851282.0,0.81,-4.19,8.3,12.99,0.59,0.59,0.59,8.46
DIS,Disney,Communication Services,Entertainment,104.72,8566112.0,0.62,-3.05,3.37,5.6,0.9,0.9,0.9,181.85
SMTC,SMTC,Technology,Semiconductors,136.53,4244714.0,2.1,12.08,27.48,60.21,0.58,0.58,0.58,12.71
NVDA,NVIDIA,Technology,Semiconductors,219.44,156887900.0,1.07,1.97,10.56,16.33,34.43,34.43,34.43,5333.49
NBTX,NBTX,Healthcare,Biotechnology,53.55,203709.0,1.73,17.72,71.85,76.5,0.01,0.01,0.01,2.6
