Code,Name,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Industry,Vol_Increase,RVOL,Weekly_Chg%,Monthly_Chg%
5546.TW,永固-KY,21.7,-2.6905829596412554,0.009021341,41573.0,一般,一般,False,0,0,0
5607.TW,遠雄港,48.35,0.10351966873706003,0.18069313650000002,373719.0,一般,一般,False,0,0,0
5608.TW,四維航,18.0,4.651162790697675,0.5673708,3152060.0,一般,一般,False,0,0,0
5706.TW,鳳凰,50.1,0.6024096385542168,0.07778626200000001,155262.0,一般,一般,False,0,0,0
5871.TW,中租-KY,105.0,-0.47393364928909953,7.6447371,7280702.0,一般,一般,False,0,0,0
5871A.TW,中租-KY甲特,101.0,0.0,0.06369767,63067.0,一般,一般,False,0,0,0
5876.TW,上海商銀,40.25,-0.6172839506172839,4.035726625,10026650.0,一般,一般,False,0,0,0
5880.TW,合庫金,24.05,-1.02880658436214,4.1790566675,17376535.0,一般,一般,False,0,0,0
5906.TW,台南-KY,51.6,0.0,0.004128,8000.0,一般,一般,False,0,0,0
5907.TW,大洋-KY,5.55,1.6483516483516485,0.01565544,282080.0,一般,一般,False,0,0,0
6005.TW,群益證,25.25,2.0202020202020203,3.3188713625,13144045.0,一般,一般,False,0,0,0
6024.TW,群益期,51.3,-0.38834951456310685,0.09308282400000001,181448.0,一般,一般,False,0,0,0
6108.TW,競國,14.4,0.0,0.036911232,256328.0,一般,一般,False,0,0,0
6112.TW,邁達特,48.05,0.5230125523012553,0.32054683549999996,667111.0,一般,一般,False,0,0,0
6115.TW,鎰勝,46.9,0.2136752136752137,0.056794493,121097.0,一般,一般,False,0,0,0
6116.TW,彩晶,10.6,9.844559585492227,3.7365645539999996,35250609.0,一般,一般,False,0,0,0
6117.TW,迎廣,81.8,1.7412935323383085,0.32362452199999997,395629.0,一般,一般,False,0,0,0
6120.TW,達運,13.75,1.8518518518518516,2.4350324625,17709327.0,一般,一般,False,0,0,0
6128.TW,上福,22.5,2.974828375286041,0.053622225,238321.0,一般,一般,False,0,0,0
6133.TW,金橋,21.05,3.439803439803439,0.37634874,1787880.0,一般,一般,False,0,0,0
6136.TW,富爾特,24.1,0.4166666666666667,0.019151306,79466.0,一般,一般,False,0,0,0
6139.TW,亞翔,595.0,-1.3266998341625207,24.8036936,4168688.0,一般,一般,False,0,0,0
6141.TW,柏承,10.7,2.3923444976076556,0.019474428,182004.0,一般,一般,False,0,0,0
