Code,Name,Close,Volume,Daily_Amount_B,Daily_Chg%,Vol_Increase,Sector,Industry,RVOL,Weekly_Chg%,Monthly_Chg%
2340.TW,台亞,27.45,4623260.0,1.2619442,3.195488721804512,True,一般,一般,0,0,0
2342.TW,茂矽,36.15,16586167.0,5.97905251,9.878419452887538,True,一般,一般,0,0,0
2344.TW,華邦電,106.5,351786974.0,377.41386652,2.403846153846154,False,一般,一般,0,0,0
2345.TW,智邦,1205.0,4013280.0,48.6129936,-2.82258064516129,False,高價股,高價股,0,0,0
2347.TW,聯強,62.3,12916300.0,7.97343764,1.9639934533551555,True,一般,一般,0,0,0
2348.TW,海悅,82.5,356163.0,0.29301635,0.6097560975609756,False,一般,一般,0,0,0
2348A.TW,海悅甲特,36.6,5019.0,0.00182994,0.13679890560875513,False,一般,一般,0,0,0
2349.TW,錸德,16.15,23887955.0,3.79967072,9.863945578231291,True,一般,一般,0,0,0
2351.TW,順德,77.0,1020316.0,0.78474233,1.8518518518518516,False,一般,一般,0,0,0
2352.TW,佳世達,24.6,9498177.0,2.32451986,2.928870292887029,False,一般,一般,0,0,0
2353.TW,宏碁,27.05,69741421.0,18.8008689,3.2442748091603053,True,一般,一般,0,0,0
2354.TW,鴻準,60.8,6938514.0,4.21721213,0.8291873963515755,False,一般,一般,0,0,0
2355.TW,敬鵬,32.3,2933832.0,0.94302471,3.0303030303030303,True,一般,一般,0,0,0
2356.TW,英業達,43.85,11949864.0,5.21290582,1.5046296296296295,False,一般,一般,0,0,0
2357.TW,華碩,543.0,4753977.0,25.76882341,0.7421150278293136,True,一般,一般,0,0,0
2359.TW,所羅門,133.5,5658745.0,7.78631672,-2.909090909090909,False,一般,一般,0,0,0
2360.TW,致茂,922.0,5342988.0,49.35922049,7.710280373831775,True,高價股,高價股,0,0,0
2362.TW,藍天,38.15,916410.0,0.34953725,-0.13089005235602097,True,一般,一般,0,0,0
2363.TW,矽統,48.4,9415941.0,4.56557444,4.086021505376344,True,一般,一般,0,0,0
2364.TW,倫飛,67.3,198812.0,0.1333996,0.7485029940119761,True,一般,一般,0,0,0
2365.TW,昆盈,35.85,4817013.0,1.752789,-0.4166666666666667,False,一般,一般,0,0,0
2367.TW,燿華,31.65,102198332.0,31.39702388,9.895833333333334,True,一般,一般,0,0,0
2368.TW,金像電,643.0,9058719.0,58.71182059,-2.8700906344410875,True,高價股,高價股,0,0,0
2369.TW,菱生,26.65,32173378.0,8.52099475,9.896907216494846,True,一般,一般,0,0,0
