Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
F,F,Consumer Cyclical,Auto Manufacturers,14.77,48389671.0,1.08,-0.47,-1.53,2.0,0.71,0.71,0.71,58.85
QBTS,QBTS,Technology,Computer Hardware,26.26,44755305.0,1.59,12.37,1.66,18.66,1.18,1.18,1.18,9.73
NFLX,Netflix,Communication Services,Entertainment,81.67,33009660.0,0.95,1.66,-1.17,-6.06,2.7,2.7,2.7,343.9
BAC,Bank of America,Financial Services,Banks - Diversified,55.87,21136583.0,0.64,-0.27,4.18,12.08,1.18,1.18,1.18,396.49
AAL,AAL,Industrials,Airlines,15.46,178764605.0,1.27,3.2,13.68,21.73,2.76,2.76,2.76,10.23
AMZN,Amazon,Consumer Cyclical,Internet Retail,246.02,41083012.0,0.98,3.13,0.33,-7.93,10.11,10.11,10.11,2646.46
AAPL,Apple,Technology,Consumer Electronics,296.42,45303570.0,0.8,1.82,-1.7,-0.6,13.43,13.43,13.43,4353.63
HMY,HMY,Basic Materials,Gold,17.52,4687761.0,0.94,10.47,14.21,0.86,0.08,0.08,0.08,11.06
MA,Mastercard,Financial Services,Credit Services,490.64,2755681.0,0.79,0.13,1.02,0.14,1.35,1.35,1.35,433.52
GPGI,GPGI,Industrials,Metal Fabrication,14.57,3564068.0,1.87,13.83,22.54,17.31,0.05,0.05,0.05,4.22
YSS,YSS,Industrials,Aerospace & Defense,30.5,2116115.0,1.04,10.15,5.21,5.39,0.06,0.06,0.06,3.96
NVDA,NVIDIA,Technology,Semiconductors,212.45,130006836.0,0.86,3.54,1.83,-9.88,27.62,27.62,27.62,5145.75
MU,Micron,Technology,Semiconductors,1087.99,44256323.0,0.78,10.84,14.61,40.2,48.15,48.15,48.15,1226.96
PATH,PATH,Technology,Software - Infrastructure,10.79,66778565.0,1.49,2.27,-3.4,11.58,0.72,0.72,0.72,5.59
GRAB,GRAB,Technology,Software - Application,3.46,79088322.0,1.5,4.85,3.9,-3.08,0.27,0.27,0.27,14.15
ACHR,ACHR,Industrials,Aerospace & Defense,5.55,54988379.0,1.34,9.25,-3.14,-13.42,0.31,0.31,0.31,4.23
BTC-USD,Bitcoin,Crypto,Cryptocurrency,66202.03,33565634560.0,1.37,0.75,7.73,-14.33,2222113.19,2222113.19,2222113.19,0.0
HG=F,Copper (銅),Index,Market Index,6.48,229.0,0.44,0.81,2.42,-1.29,0.0,0.0,0.0,0.0
TSM,TSMC,Technology,Semiconductors,441.4,11156909.0,0.8,4.12,3.42,5.67,4.92,4.92,4.92,2289.31
CRWV,CoreWeave,Technology,Software - Infrastructure,106.71,21764134.0,0.86,6.13,4.24,-6.57,2.32,2.32,2.32,58.22
NOK,NOK,Technology,Communication Equipment,14.82,121846864.0,1.02,0.14,1.58,2.49,1.81,1.81,1.81,82.73
SOFI,SOFI,Financial Services,Credit Services,17.13,75978585.0,1.04,3.32,3.82,6.93,1.3,1.3,1.3,21.97
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,221.59,3544149.0,0.81,-2.7,-0.66,5.13,0.79,0.79,0.79,391.5
^DJI,Dow Jones,Index,Market Index,51671.03,509663893.0,1.02,0.92,1.74,3.21,26334.86,26334.86,26334.86,0.0
BMNR,BMNR,Financial Services,Capital Markets,17.11,45665737.0,1.35,6.21,1.54,-22.23,0.78,0.78,0.78,9.75
MSFT,Microsoft,Technology,Software - Infrastructure,399.76,31889993.0,0.88,2.31,-2.91,-2.36,12.75,12.75,12.75,2969.59
NBIS,NBIS,Communication Services,Internet Content & Information,260.07,15161127.0,0.91,11.93,19.3,17.6,3.94,3.94,3.94,66.03
SNAP,SNAP,Communication Services,Internet Content & Information,5.71,46937285.0,1.29,8.56,1.06,6.53,0.27,0.27,0.27,9.46
COST,Costco,Consumer Defensive,Discount Stores,979.45,1847589.0,0.98,-0.3,0.48,-5.94,1.81,1.81,1.81,434.37
